block,sae_seed,region_source,threshold,step_index,method,metric,target,n,pearson,spearman,partial_pearson_order,partial_spearman_order,partial_n
11,42,attn,0.3,8,raw,r,leak_a_to_b_rate,200,0.056083811175983454,0.02321904284389267,0.05650369380866314,0.023680420376181482,199
11,42,attn,0.3,8,raw,r,leak_b_to_a_rate,200,0.043666209930947116,-0.0036122118137085373,0.04374497730909971,-0.0033507205295420163,199
11,42,attn,0.3,8,raw,r,rho_a_mean,200,-0.05671111692569868,-0.05122878290202599,-0.05716013659137307,-0.0516621581922513,197
11,42,attn,0.3,8,raw,r,rho_b_mean,200,-0.36343758740227455,-0.33546116152929983,-0.3636582525592887,-0.33547468049543194,197
11,42,attn,0.3,8,raw,r,metric_leak_a_to_b_mean,200,0.21820605669532797,0.20876703850433817,0.21831474849894952,0.20889013045600086,197
11,42,attn,0.3,8,raw,r,metric_leak_b_to_a_mean,200,0.3957441010184046,0.4195253768955045,0.39594482458135943,0.4196780911836427,197
11,42,attn,0.3,8,raw,O,missing_asym_b_minus_a,200,-0.2218102906012755,-0.18572140816297023,-0.22183255047287576,-0.18598152694812745,200
11,42,attn,0.3,8,raw,O,merged_rate,200,0.061990481398742345,0.09375498089849724,0.06213729449310569,0.09385523667729728,200
11,42,attn,0.3,8,raw,O,leak_a_to_b_rate,200,0.05704264008559982,0.08976626355459635,0.05741099583220215,0.09067307707104592,199
11,42,attn,0.3,8,raw,O,leak_b_to_a_rate,200,0.014289079752630274,0.0014680068734044596,0.01434197858253874,0.0017867904376452368,199
11,42,attn,0.3,8,raw,O,rho_a_mean,200,-0.059911250173168715,-0.05127901258513738,-0.06058048941711715,-0.05185892653292149,197
11,42,attn,0.3,8,raw,O,rho_b_mean,200,-0.03592067837099537,-0.0012957683480100087,-0.03566793421318144,-0.0011836252723838405,197
11,42,attn,0.3,8,raw,O,metric_leak_a_to_b_mean,200,0.10817450968776221,0.1136807160120277,0.10797838183867459,0.11345714513931333,197
11,42,attn,0.3,8,raw,O,metric_leak_b_to_a_mean,200,0.5025344915329554,0.4988851368563039,0.5028311760196368,0.49909465925794777,197
11,42,attn,0.3,8,raw,O_c,missing_asym_b_minus_a,200,-0.23342599461766847,-0.20759394497410635,-0.23344942018847614,-0.20788469812586619,200
