block,sae_seed,region_source,threshold,step_index,method,score,label,n,auc,ci025,ci975
11,43,attn,0.3,1,topk,rho_a,a_present,1682,0.617405953119031,nan,nan
11,43,attn,0.3,1,topk,rho_b,b_present,1687,0.45966609455453267,nan,nan
11,43,attn,0.3,1,topk,metric_leak_a_to_b,leak_a_to_b_label,1687,0.44371226141738174,nan,nan
11,43,attn,0.3,1,topk,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6107419712070875,nan,nan
11,43,attn,0.3,4,pre,rho_a,a_present,1721,0.5434030255458827,nan,nan
11,43,attn,0.3,4,pre,rho_b,b_present,1767,0.4676186765763606,nan,nan
11,43,attn,0.3,4,pre,metric_leak_a_to_b,leak_a_to_b_label,1767,0.6235468838019153,nan,nan
11,43,attn,0.3,4,pre,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6217404396266185,nan,nan
11,43,attn,0.3,4,raw,rho_a,a_present,1721,0.5064043099757386,nan,nan
11,43,attn,0.3,4,raw,rho_b,b_present,1767,0.44446175976983937,nan,nan
11,43,attn,0.3,4,raw,metric_leak_a_to_b,leak_a_to_b_label,1767,0.5476348986872877,nan,nan
11,43,attn,0.3,4,raw,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6320686540198736,nan,nan
11,43,attn,0.3,4,topk,rho_a,a_present,1721,0.5374565910280196,nan,nan
11,43,attn,0.3,4,topk,rho_b,b_present,1767,0.45734236394150085,nan,nan
11,43,attn,0.3,4,topk,metric_leak_a_to_b,leak_a_to_b_label,1767,0.6210119321964459,nan,nan
11,43,attn,0.3,4,topk,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6039671785606745,nan,nan
11,43,attn,0.3,8,pre,rho_a,a_present,1776,0.5396305600709325,nan,nan
11,43,attn,0.3,8,pre,rho_b,b_present,1814,0.5302618162523614,nan,nan
11,43,attn,0.3,8,pre,metric_leak_a_to_b,leak_a_to_b_label,1814,0.5916207376900249,nan,nan
11,43,attn,0.3,8,pre,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6648871527777778,nan,nan
11,43,attn,0.3,8,raw,rho_a,a_present,1776,0.5397901581202896,nan,nan
11,43,attn,0.3,8,raw,rho_b,b_present,1814,0.45792113228896636,nan,nan
11,43,attn,0.3,8,raw,metric_leak_a_to_b,leak_a_to_b_label,1814,0.5501635273454061,nan,nan
11,43,attn,0.3,8,raw,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6138826884920635,nan,nan
11,43,attn,0.3,8,topk,rho_a,a_present,1776,0.5255327323777154,nan,nan
11,43,attn,0.3,8,topk,rho_b,b_present,1814,0.524099177569018,nan,nan
11,43,attn,0.3,8,topk,metric_leak_a_to_b,leak_a_to_b_label,1814,0.5608836533220277,nan,nan
11,43,attn,0.3,8,topk,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6461433531746031,nan,nan
11,43,attn,0.1,1,pre,rho_a,a_present,1682,0.6149573211590609,nan,nan
11,43,attn,0.1,1,pre,rho_b,b_present,1687,0.46249414885317525,nan,nan
11,43,attn,0.1,1,pre,metric_leak_a_to_b,leak_a_to_b_label,1669,0.4283162252594567,nan,nan
11,43,attn,0.1,1,pre,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6052558722387363,nan,nan
11,43,attn,0.1,1,raw,rho_a,a_present,1682,0.5369016977599088,nan,nan
11,43,attn,0.1,1,raw,rho_b,b_present,1687,0.4796997711551464,nan,nan
11,43,attn,0.1,1,raw,metric_leak_a_to_b,leak_a_to_b_label,1669,0.4659917956861188,nan,nan
11,43,attn,0.1,1,raw,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6144285131433235,nan,nan
11,43,attn,0.1,1,topk,rho_a,a_present,1682,0.617405953119031,nan,nan
11,43,attn,0.1,1,topk,rho_b,b_present,1687,0.45966609455453267,nan,nan
11,43,attn,0.1,1,topk,metric_leak_a_to_b,leak_a_to_b_label,1669,0.43746573659237414,nan,nan
11,43,attn,0.1,1,topk,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6107419712070875,nan,nan
11,43,attn,0.1,4,pre,rho_a,a_present,1721,0.5434030255458827,nan,nan
11,43,attn,0.1,4,pre,rho_b,b_present,1767,0.4676186765763606,nan,nan
11,43,attn,0.1,4,pre,metric_leak_a_to_b,leak_a_to_b_label,1752,0.6209753115123959,nan,nan
11,43,attn,0.1,4,pre,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6217404396266185,nan,nan
11,43,attn,0.1,4,raw,rho_a,a_present,1721,0.5064043099757386,nan,nan
11,43,attn,0.1,4,raw,rho_b,b_present,1767,0.44446175976983937,nan,nan
11,43,attn,0.1,4,raw,metric_leak_a_to_b,leak_a_to_b_label,1752,0.5450584274113686,nan,nan
11,43,attn,0.1,4,raw,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6320686540198736,nan,nan
11,43,attn,0.1,4,topk,rho_a,a_present,1721,0.5374565910280196,nan,nan
11,43,attn,0.1,4,topk,rho_b,b_present,1767,0.45734236394150085,nan,nan
11,43,attn,0.1,4,topk,metric_leak_a_to_b,leak_a_to_b_label,1752,0.6184091554935545,nan,nan
11,43,attn,0.1,4,topk,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6039671785606745,nan,nan
11,43,attn,0.1,8,pre,rho_a,a_present,1776,0.5396305600709325,nan,nan
