pair_id,order,n,missing_asym_b_minus_a,count_a_ge2_rate,count_b_ge2_rate,a_present_rate,a_present_n,b_present_rate,b_present_n,merged_rate,merged_n,malformed_a_rate,malformed_a_n,malformed_b_rate,malformed_b_n,leak_a_to_b_rate,leak_a_to_b_n,leak_b_to_a_rate,leak_b_to_a_n
penguin__pumpkin,1,10,0.1,0.4,0.1,1.0,10,0.9,10,0.1,10,0.0,10,0.1,10,0.0,7,0.14285714285714285,7
strawberry__pumpkin,0,10,-0.1,0.125,0.3333333333333333,0.8,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,7,0.0,7
strawberry__pumpkin,1,10,0.0,0.6,0.3,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
strawberry__watermelon,0,10,0.0,0.7,0.5,1.0,10,1.0,10,0.3,10,0.0,10,0.0,10,0.0,7,0.0,7
strawberry__watermelon,1,10,0.0,0.4,0.4,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,8,0.0,8
tiger__apple,0,10,0.0,0.5,0.4,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,8,0.0,8
tiger__apple,1,10,0.1,0.6,0.2222222222222222,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,8,0.0,8
tiger__dog,0,10,0.2,0.2,0.1111111111111111,1.0,10,0.8,10,0.1,10,0.0,10,0.0,10,0.0,6,0.0,6
tiger__dog,1,10,0.1,0.2,0.2222222222222222,1.0,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
tiger__frog,0,10,0.0,0.3,0.1,1.0,10,1.0,10,0.3,10,0.0,10,0.0,10,0.0,6,0.0,6
tiger__frog,1,10,0.3333333333333333,0.6666666666666666,0.5714285714285714,1.0,9,0.6666666666666666,9,0.1111111111111111,9,0.0,9,0.2222222222222222,9,0.0,1,0.0,1
tiger__leopard,0,10,0.1,0.7,0.3,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
tiger__leopard,1,10,0.1,0.6,0.4,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,7,0.0,7
tiger__panda,0,10,0.0,0.2,0.0,1.0,10,1.0,10,0.6,10,0.0,10,0.0,10,0.0,4,0.0,4
tiger__panda,1,10,0.1,0.7,0.5555555555555556,1.0,10,0.9,10,0.2,10,0.0,10,0.0,10,0.3333333333333333,6,0.3333333333333333,6
tiger__penguin,0,10,0.1,0.1,0.0,1.0,10,0.9,10,0.1,10,0.0,10,0.0,10,0.125,8,0.125,8
tiger__penguin,1,10,0.0,0.1,0.0,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.125,8,0.125,8
