pair,pair_id,entity_a,entity_b,stage,block,kind,aggregation,cosine
bear__panda,bear__panda,bear,panda,attn2_projection,23,key,head_concat,0.9977461695671082
bear__panda,bear__panda,bear,panda,attn2_projection,23,value,head_mean,0.5654316544532776
bear__panda,bear__panda,bear,panda,attn2_projection,23,value,head_concat,0.565911591053009
bear__peach,bear__peach,bear,peach,t5_hidden,,hidden,subword_mean,0.3405250310897827
bear__peach,bear__peach,bear,peach,caption_projection,,projected,subword_mean,0.30512735247612
bear__peach,bear__peach,bear,peach,attn2_projection,8,key,head_mean,0.8140407800674438
bear__peach,bear__peach,bear,peach,attn2_projection,8,key,head_concat,0.8804376721382141
bear__peach,bear__peach,bear,peach,attn2_projection,8,value,head_mean,0.16041168570518494
bear__peach,bear__peach,bear,peach,attn2_projection,8,value,head_concat,0.15544454753398895
bear__peach,bear__peach,bear,peach,attn2_projection,11,key,head_mean,0.7947365045547485
bear__peach,bear__peach,bear,peach,attn2_projection,11,key,head_concat,0.8932289481163025
bear__peach,bear__peach,bear,peach,attn2_projection,11,value,head_mean,0.041087329387664795
bear__peach,bear__peach,bear,peach,attn2_projection,11,value,head_concat,0.0423983559012413
bear__peach,bear__peach,bear,peach,attn2_projection,14,key,head_mean,0.8518693447113037
bear__peach,bear__peach,bear,peach,attn2_projection,14,key,head_concat,0.9431039094924927
bear__peach,bear__peach,bear,peach,attn2_projection,14,value,head_mean,0.06124347448348999
bear__peach,bear__peach,bear,peach,attn2_projection,14,value,head_concat,0.06353924423456192
bear__peach,bear__peach,bear,peach,attn2_projection,17,key,head_mean,0.9112142324447632
bear__peach,bear__peach,bear,peach,attn2_projection,17,key,head_concat,0.9563131332397461
bear__peach,bear__peach,bear,peach,attn2_projection,17,value,head_mean,0.09182056784629822
bear__peach,bear__peach,bear,peach,attn2_projection,17,value,head_concat,0.09342247247695923
bear__peach,bear__peach,bear,peach,attn2_projection,20,key,head_mean,0.9789308905601501
bear__peach,bear__peach,bear,peach,attn2_projection,20,key,head_concat,0.9904884696006775
bear__peach,bear__peach,bear,peach,attn2_projection,20,value,head_mean,0.09420497715473175
bear__peach,bear__peach,bear,peach,attn2_projection,20,value,head_concat,0.08758849650621414
bear__peach,bear__peach,bear,peach,attn2_projection,23,key,head_mean,0.9848433136940002
bear__peach,bear__peach,bear,peach,attn2_projection,23,key,head_concat,0.9954093098640442
bear__peach,bear__peach,bear,peach,attn2_projection,23,value,head_mean,0.1846894472837448
bear__peach,bear__peach,bear,peach,attn2_projection,23,value,head_concat,0.14837993681430817
bear__pear,bear__pear,bear,pear,t5_hidden,,hidden,subword_mean,0.38517701625823975
bear__pear,bear__pear,bear,pear,caption_projection,,projected,subword_mean,0.3622971177101135
bear__pear,bear__pear,bear,pear,attn2_projection,8,key,head_mean,0.8385218381881714
bear__pear,bear__pear,bear,pear,attn2_projection,8,key,head_concat,0.8953551650047302
bear__pear,bear__pear,bear,pear,attn2_projection,8,value,head_mean,0.2308187484741211
bear__pear,bear__pear,bear,pear,attn2_projection,8,value,head_concat,0.22879378497600555
bear__pear,bear__pear,bear,pear,attn2_projection,11,key,head_mean,0.8272407054901123
bear__pear,bear__pear,bear,pear,attn2_projection,11,key,head_concat,0.9089889526367188
bear__pear,bear__pear,bear,pear,attn2_projection,11,value,head_mean,0.1249271035194397
bear__pear,bear__pear,bear,pear,attn2_projection,11,value,head_concat,0.12333959341049194
bear__pear,bear__pear,bear,pear,attn2_projection,14,key,head_mean,0.8676967024803162
bear__pear,bear__pear,bear,pear,attn2_projection,14,key,head_concat,0.9498780369758606
bear__pear,bear__pear,bear,pear,attn2_projection,14,value,head_mean,0.11230655759572983
bear__pear,bear__pear,bear,pear,attn2_projection,14,value,head_concat,0.10968891531229019
bear__pear,bear__pear,bear,pear,attn2_projection,17,key,head_mean,0.9222439527511597
bear__pear,bear__pear,bear,pear,attn2_projection,17,key,head_concat,0.96245938539505
bear__pear,bear__pear,bear,pear,attn2_projection,17,value,head_mean,0.17961283028125763
bear__pear,bear__pear,bear,pear,attn2_projection,17,value,head_concat,0.1729261577129364
bear__pear,bear__pear,bear,pear,attn2_projection,20,key,head_mean,0.9817293286323547
bear__pear,bear__pear,bear,pear,attn2_projection,20,key,head_concat,0.9917042851448059
bear__pear,bear__pear,bear,pear,attn2_projection,20,value,head_mean,0.15837392210960388
bear__pear,bear__pear,bear,pear,attn2_projection,20,value,head_concat,0.15411868691444397
bear__pear,bear__pear,bear,pear,attn2_projection,23,key,head_mean,0.9874749183654785
bear__pear,bear__pear,bear,pear,attn2_projection,23,key,head_concat,0.9961681365966797
bear__pear,bear__pear,bear,pear,attn2_projection,23,value,head_mean,0.23921148478984833
bear__pear,bear__pear,bear,pear,attn2_projection,23,value,head_concat,0.2133806198835373
bear__penguin,bear__penguin,bear,penguin,t5_hidden,,hidden,subword_mean,0.49843546748161316
bear__penguin,bear__penguin,bear,penguin,caption_projection,,projected,subword_mean,0.37569722533226013
bear__penguin,bear__penguin,bear,penguin,attn2_projection,8,key,head_mean,0.8582072257995605
bear__penguin,bear__penguin,bear,penguin,attn2_projection,8,key,head_concat,0.9136638641357422
bear__penguin,bear__penguin,bear,penguin,attn2_projection,8,value,head_mean,0.39563313126564026
bear__penguin,bear__penguin,bear,penguin,attn2_projection,8,value,head_concat,0.3987337350845337
bear__penguin,bear__penguin,bear,penguin,attn2_projection,11,key,head_mean,0.8497093915939331
bear__penguin,bear__penguin,bear,penguin,attn2_projection,11,key,head_concat,0.9242920279502869
bear__penguin,bear__penguin,bear,penguin,attn2_projection,11,value,head_mean,0.20917925238609314
bear__penguin,bear__penguin,bear,penguin,attn2_projection,11,value,head_concat,0.2067602425813675
bear__penguin,bear__penguin,bear,penguin,attn2_projection,14,key,head_mean,0.8877315521240234
bear__penguin,bear__penguin,bear,penguin,attn2_projection,14,key,head_concat,0.9582407474517822
bear__penguin,bear__penguin,bear,penguin,attn2_projection,14,value,head_mean,0.2271304726600647
bear__penguin,bear__penguin,bear,penguin,attn2_projection,14,value,head_concat,0.21185940504074097
bear__penguin,bear__penguin,bear,penguin,attn2_projection,17,key,head_mean,0.9356938600540161
bear__penguin,bear__penguin,bear,penguin,attn2_projection,17,key,head_concat,0.9680066704750061
bear__penguin,bear__penguin,bear,penguin,attn2_projection,17,value,head_mean,0.2042090892791748
bear__penguin,bear__penguin,bear,penguin,attn2_projection,17,value,head_concat,0.2008630335330963
bear__penguin,bear__penguin,bear,penguin,attn2_projection,20,key,head_mean,0.9839466214179993
bear__penguin,bear__penguin,bear,penguin,attn2_projection,20,key,head_concat,0.993337094783783
bear__penguin,bear__penguin,bear,penguin,attn2_projection,20,value,head_mean,0.3368854820728302
bear__penguin,bear__penguin,bear,penguin,attn2_projection,20,value,head_concat,0.34442338347435
bear__penguin,bear__penguin,bear,penguin,attn2_projection,23,key,head_mean,0.9888991117477417
bear__penguin,bear__penguin,bear,penguin,attn2_projection,23,key,head_concat,0.9965075850486755
bear__penguin,bear__penguin,bear,penguin,attn2_projection,23,value,head_mean,0.28985652327537537
bear__penguin,bear__penguin,bear,penguin,attn2_projection,23,value,head_concat,0.2596982419490814
bear__pepper,bear__pepper,bear,pepper,t5_hidden,,hidden,subword_mean,0.31723856925964355
bear__pepper,bear__pepper,bear,pepper,caption_projection,,projected,subword_mean,0.2724818289279938
bear__pepper,bear__pepper,bear,pepper,attn2_projection,8,key,head_mean,0.7953308820724487
bear__pepper,bear__pepper,bear,pepper,attn2_projection,8,key,head_concat,0.8674036860466003
bear__pepper,bear__pepper,bear,pepper,attn2_projection,8,value,head_mean,0.07377426326274872
bear__pepper,bear__pepper,bear,pepper,attn2_projection,8,value,head_concat,0.07051479816436768
bear__pepper,bear__pepper,bear,pepper,attn2_projection,11,key,head_mean,0.7675822377204895
bear__pepper,bear__pepper,bear,pepper,attn2_projection,11,key,head_concat,0.8763567805290222
bear__pepper,bear__pepper,bear,pepper,attn2_projection,11,value,head_mean,0.0458458736538887
bear__pepper,bear__pepper,bear,pepper,attn2_projection,11,value,head_concat,0.04591330513358116
bear__pepper,bear__pepper,bear,pepper,attn2_projection,14,key,head_mean,0.8494656085968018
bear__pepper,bear__pepper,bear,pepper,attn2_projection,14,key,head_concat,0.9369081258773804
bear__pepper,bear__pepper,bear,pepper,attn2_projection,14,value,head_mean,0.039174921810626984
bear__pepper,bear__pepper,bear,pepper,attn2_projection,14,value,head_concat,0.04122737795114517
bear__pepper,bear__pepper,bear,pepper,attn2_projection,17,key,head_mean,0.906163215637207
bear__pepper,bear__pepper,bear,pepper,attn2_projection,17,key,head_concat,0.953177809715271
